STN,연도,평균기온,최저기온평균,최고기온평균,연강수량,연일조시간,관측일수,평균습도,연일사량,연증발량,연안개시간,지중온도_05m,생육기평균기온,생육기강수량,서리일수,초상서리일수,개화기저온일수,폭염일수,호우일수
114.0,2019,13.021095890410958,8.262809917355373,18.368219178082192,771.9,2359.3,365,59.49589041095891,5228.79,1348.4,0.0,,20.152803738317758,614.9,97,155,5,14,0
114.0,2020,12.780054644808743,8.206830601092896,17.96311475409836,1317.0,2279.5,366,62.031967213114754,5071.69,1284.6,0.0,,19.39018691588785,1144.2,94,158,4,6,1
114.0,2021,12.99835616438356,8.290109890109889,18.353021978021978,1113.0,2286.3,365,64.50219178082192,5166.86,1274.3,0.0,,19.929439252336447,966.4,89,163,0,16,1
114.0,2022,12.504109589041096,7.784573002754821,17.798904109589042,1394.0,2401.0,365,62.48438356164383,5327.88,1307.8,0.0,,20.093457943925234,1254.1,99,171,3,8,2
114.0,2023,13.501648351648353,8.741095890410959,18.71780821917808,1391.7,2303.2,365,64.04065934065933,5255.19,1313.4,0.0,,20.651173708920187,1202.5,99,155,2,16,2
114.0,2024,14.552732240437159,10.168493150684931,19.55273224043716,1374.5,2260.1,366,65.38306010928962,5263.0,1329.5,0.0,,22.012149532710282,1196.9,82,139,0,30,1
115.0,2019,13.767671232876712,11.200547945205479,16.914794520547943,1367.4,2371.6,365,68.22465753424657,3479.29,1198.7,300.13,14.842307692307694,19.014953271028038,932.9,20,86,2,0,2
115.0,2020,13.457650273224044,11.01448087431694,16.518852459016394,1462.0,1948.8,366,72.97431693989071,4954.9,1338.6,504.51,14.565573770491802,18.599532710280375,839.9,18,76,0,0,1
115.0,2021,13.5900826446281,11.048076923076923,16.776438356164384,1533.0,1860.1,365,75.61342465753425,5017.16,1294.0,341.01,14.853150684931506,19.007075471698112,1090.6,40,81,0,0,2
115.0,2022,13.630410958904111,10.979178082191781,16.89205479452055,1211.4,1922.2,365,73.95753424657535,5218.51,1361.5,258.35,14.68901098901099,19.482242990654203,868.1,40,97,0,0,1
115.0,2023,14.666575342465753,11.968493150684932,17.861369863013696,1527.4,1986.2,365,74.86187845303867,5000.5,1328.3,364.3,15.23434065934066,20.346261682242993,951.5,32,85,0,1,2
115.0,2024,14.732328767123288,12.237704918032787,17.748360655737702,1953.6000000000001,1904.1,366,77.95561643835616,4772.71,1258.1,314.27,15.459178082191782,20.895774647887325,1228.9,21,77,0,3,3
119.0,2019,13.261917808219179,8.354670329670329,18.910958904109588,915.8,2475.0,365,69.50739726027398,5097.62,1326.1,48.67,,20.458878504672896,722.9,108,137,5,16,2
119.0,2020,12.940710382513661,8.620936639118458,18.01448087431694,1635.5,2444.2,366,75.73032786885246,5037.87,1193.4,25.78,,19.524766355140187,1434.4,88,156,4,5,7
119.0,2021,13.447945205479453,8.862534435261708,18.681643835616438,1084.4,2434.7,365,72.15714285714286,5065.52,1276.4,43.33,,20.60934579439252,831.3000000000001,81,149,0,19,0
119.0,2022,12.82986301369863,8.204945054945055,18.083835616438357,1863.8,2565.3,365,68.44246575342466,5251.92,1351.6,25.45,,20.540654205607474,1710.3,102,148,3,10,6
119.0,2023,13.474725274725275,8.875206611570247,18.67041095890411,1409.4,2345.4,365,69.42383561643835,5261.02,1349.3,48.98,11.621686746987953,20.638317757009347,1181.8,97,134,1,15,3
119.0,2024,14.133060109289618,9.73879781420765,19.189890710382514,1378.2,2337.4,366,69.98836565096953,5329.33,1373.1,16.7,15.528415300546447,21.572429906542055,1149.4,94,131,0,29,2
121.0,2019,12.163561643835616,6.745179063360881,18.754794520547946,830.4,2117.2,365,67.76438356164384,0.0,0.0,0.0,,19.083644859813084,678.0,118,158,11,14,0
121.0,2020,11.97704918032787,6.811232876712329,18.43032786885246,1344.1,2225.0,366,68.48907103825137,0.0,0.0,0.0,,18.375700934579438,1164.2,113,169,8,9,1
121.0,2021,12.20934065934066,7.044628099173553,18.584109589041095,1106.4,2195.5,365,69.36876712328767,0.0,0.0,0.0,,18.759345794392523,945.6,99,157,3,19,0
121.0,2022,11.687671232876712,6.251933701657458,18.41123287671233,1288.7,2275.2,365,67.05698630136986,0.0,0.0,0.0,,19.065887850467288,1146.9,113,158,8,14,2
121.0,2023,12.50467032967033,7.154120879120879,19.05013698630137,1507.5,2264.7,365,68.79313186813187,0.0,0.0,0.0,,19.39392523364486,1321.9,116,150,4,22,2
121.0,2024,13.354371584699454,8.426997245179063,19.610109289617487,1316.7,2282.7,366,70.06857923497267,0.0,0.0,0.0,,20.522429906542058,1150.3,102,132,0,30,1
127.0,2019,12.363013698630137,6.918005540166205,18.644109589041097,795.5,2261.9,365,67.90027397260273,0.0,0.0,0.0,,19.686448598130838,622.4,121,150,8,16,0
127.0,2020,12.19205479452055,6.964187327823692,18.154371584699454,1446.5,2222.0,366,70.05327868852459,0.0,0.0,0.0,,18.88177570093458,1262.6,116,164,14,8,2
127.0,2021,12.48027397260274,7.19532967032967,18.444383561643836,1365.5,2260.8,365,70.30493150684931,321.41,61.5,0.0,,19.595794392523363,1208.6,107,138,4,18,2
127.0,2022,11.91095890410959,6.315659340659341,18.12986301369863,1464.2,2418.5,365,68.36904109589041,5322.09,1307.4,0.0,,19.754205607476635,1279.7,122,150,7,13,4
